1351651349.547,steps_curr,43.56227766016838,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.737118,[0.737118]
1351651349.547,steps_avg,45.924931529987035,"['vertex2', 'vertex6', 'vertex5', 'vertex3', 'vertex4']",0:00:00.724539,[0.724539]
1351651349.547,steps_max,45.924931529987035,"['vertex2', 'vertex6', 'vertex5', 'vertex3', 'vertex4']",0:00:00.714671,[0.714671]
1351651349.547,steps_min,43.56227766016838,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.741005,[0.741005]
1351651349.547,steps_lrtdp,"(42.8743013112623, ['vertex2', 'vertex6', 'vertex3', 'vertex6', 'vertex5', 'vertex4'])",0:00:53.347061,"[16.621385, 8.515228, 5.791534, 6.138355, 4.94042, 4.890664, 5.403614]"
1351647527.338,steps_curr,23.162277660168378,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.422631,[0.422631]
1351647527.338,steps_avg,24.324931529987037,"['vertex2', 'vertex6', 'vertex5', 'vertex3', 'vertex4']",0:00:00.440203,[0.440203]
1351647527.338,steps_max,24.324931529987037,"['vertex2', 'vertex6', 'vertex5', 'vertex3', 'vertex4']",0:00:00.448125,[0.448125]
1351647527.338,steps_min,23.162277660168378,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.426770,[0.42677]
1351647527.338,steps_lrtdp,"(23.162277660168378, ['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4'])",0:00:32.033200,"[13.824299, 6.4125, 3.900477, 2.580989, 2.322569, 2.501102]"
1351650999.49,steps_curr,23.162277660168378,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.508660,[0.50866]
1351650999.49,steps_avg,24.324931529987037,"['vertex2', 'vertex6', 'vertex5', 'vertex3', 'vertex4']",0:00:00.515229,[0.515229]
1351650999.49,steps_max,24.324931529987037,"['vertex2', 'vertex6', 'vertex5', 'vertex3', 'vertex4']",0:00:00.518726,[0.518726]
1351650999.49,steps_min,23.162277660168378,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.519419,[0.519419]
1351650999.49,steps_lrtdp,"(23.162277660168378, ['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4'])",0:00:37.456274,"[16.730456, 6.476706, 3.608384, 3.47343, 3.116995, 3.481624]"
1351646766.203,steps_curr,23.162277660168378,"['vertex2', 'vertex6', 'vertex3', 'vertex5', 'vertex4']",0:00:00.409066,[0.409066]
