-1.4223,-12.836,0.063843,0.1797,0.003013,0.0035121,0.0035121,0.024628,0.5746,1,1495
-1.4223,-12.836,0.86952,0.35855,5.3534e-05,0.00042775,0.00042775,0.0034178,0.0013378,1,1495
-1.4223,-12.836,0.19317,0.31818,0.050144,0.032218,0.032218,0.18618,0.42407,1,1495
-1.4223,-11.836,0.036444,0.12793,0.0011629,0.0028234,0.0028234,0.016356,0.31211,1,2402
-1.4223,-11.836,6.2754,0.14841,0.090659,-0.013514,-0.013514,0.031904,0.096986,1,2402
-1.4223,-11.836,0.33842,0.73662,0.050744,0.074454,0.074454,0.49566,0.093229,1,2402
-1.4223,-11.836,0.11568,0.28032,0.0072958,0.011226,0.011226,0.10078,0.49685,1,2402
-1.4223,-11.836,0.86952,0.35855,5.3534e-05,0.00042775,0.00042775,0.0034178,0.00083263,1,2402
-1.4223,-10.836,0.069349,0.3103,0.017755,0.058705,0.058705,0.29377,0.99574,1,235
-1.4223,-6.8364,6.2502,0.056179,0.0010523,-0.0016799,-0.0016799,0.002833,0.6,1,5
-0.42227,-12.836,0.12489,0.25948,0.020835,0.025908,0.025908,0.14599,0.99752,1,2019
-0.42227,-12.836,0.86952,0.35855,5.3534e-05,0.00042775,0.00042775,0.0034178,0.00099059,1,2019
-0.42227,-12.836,5.6862,0.06618,0.0010167,0.0014619,0.0014619,0.0021021,0.00099059,1,2019
-0.42227,-11.836,0.078448,0.26683,0.0044092,0.013541,0.013541,0.076023,0.67182,1,3656
-0.42227,-11.836,0.15153,0.35898,0.045404,0.043076,0.043076,0.29821,0.32791,1,3656
-0.42227,-10.836,0.067215,0.31022,0.016718,0.025383,0.025383,0.16621,1,1,706
-0.42227,-6.8364,0.071555,0.17541,0.019364,0.0042881,0.0042881,0.16415,0.97005,1,132
-0.42227,-6.8364,0.51493,1.1154,0.0016224,0.0029044,0.0029044,0.023582,0.029952,1,132
-0.42227,-5.8364,0.0099532,0.007335,0.0033867,-0.0017552,-0.0017552,0.0024829,0.70005,1,298
-0.42227,-5.8364,0.1012,0.26264,0.10081,0.094147,0.094147,0.36268,0.29995,1,298
